.gitignore | ProdRef: False | TestRef: False | By: 5
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-call-options.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-content.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-data-content.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-file.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-finish-reason.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-function-tool.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-generate-result.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-prompt.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-provider-tool.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-reasoning.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-response-metadata.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-source.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-stream-part.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-stream-result.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-text.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-tool-approval-request.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-tool-call.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-tool-choice.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-tool-result.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3-usage.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\language-model\v3\language-model-v3.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\provider\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\provider\v2\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\provider\v2\provider-v2.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\provider\v3\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\provider\v3\provider-v3.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\reranking-model\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\reranking-model\v3\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\reranking-model\v3\reranking-model-v3-call-options.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\reranking-model\v3\reranking-model-v3.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\shared\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\shared\v2\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\shared\v2\shared-v2-headers.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\shared\v2\shared-v2-provider-metadata.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\shared\v2\shared-v2-provider-options.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\shared\v3\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\shared\v3\shared-v3-headers.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\shared\v3\shared-v3-provider-metadata.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\shared\v3\shared-v3-provider-options.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\shared\v3\shared-v3-warning.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\speech-model\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\speech-model\v2\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\speech-model\v2\speech-model-v2-call-options.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\speech-model\v2\speech-model-v2-call-warning.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\speech-model\v2\speech-model-v2.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\speech-model\v3\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\speech-model\v3\speech-model-v3-call-options.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\speech-model\v3\speech-model-v3.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\transcription-model\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\transcription-model\v2\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\transcription-model\v2\transcription-model-v2-call-options.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\transcription-model\v2\transcription-model-v2-call-warning.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\transcription-model\v2\transcription-model-v2.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\transcription-model\v3\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\transcription-model\v3\transcription-model-v3-call-options.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\transcription-model\v3\transcription-model-v3.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\video-model\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\video-model\v3\index.ts | ProdRef: False | TestRef: False | By: 3
.kilo\node_modules\@ai-sdk\provider\src\video-model\v3\video-model-v3-call-options.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\video-model\v3\video-model-v3-file.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@ai-sdk\provider\src\video-model\v3\video-model-v3.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\example-workspace.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\example-workspace.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\example.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\example.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\index.d.ts | ProdRef: False | TestRef: False | By: 13
.kilo\node_modules\@kilocode\plugin\dist\index.js | ProdRef: False | TestRef: False | By: 30
.kilo\node_modules\@kilocode\plugin\dist\shell.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\shell.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\tool.d.ts | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@kilocode\plugin\dist\tool.js | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@kilocode\plugin\dist\tui.d.ts | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@kilocode\plugin\dist\tui.js | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\agent.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\agent.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\aisdk.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\aisdk.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\catalog.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\catalog.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\command.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\command.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\context.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\context.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\event.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\event.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\filesystem.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\filesystem.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\index.d.ts | ProdRef: False | TestRef: False | By: 13
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\index.js | ProdRef: False | TestRef: False | By: 30
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\integration.d.ts | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\integration.js | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\location.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\location.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\npm.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\npm.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\path.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\path.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\plugin.d.ts | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\plugin.js | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\reference.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\reference.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\registration.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\registration.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\skill.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\effect\skill.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\options.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\options.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\agent.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\agent.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\aisdk.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\aisdk.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\catalog.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\catalog.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\command.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\command.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\context.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\context.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\index.d.ts | ProdRef: False | TestRef: False | By: 13
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\index.js | ProdRef: False | TestRef: False | By: 30
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\integration.d.ts | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\integration.js | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\plugin.d.ts | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\plugin.js | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\reference.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\reference.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\registration.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\registration.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\skill.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\dist\v2\promise\skill.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\plugin\package.json | ProdRef: False | TestRef: False | By: 11
.kilo\node_modules\@kilocode\sdk\dist\client.d.ts | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@kilocode\sdk\dist\client.js | ProdRef: False | TestRef: False | By: 1
.kilo\node_modules\@kilocode\sdk\dist\error-interceptor.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\sdk\dist\error-interceptor.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\sdk\dist\gen\client.gen.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\sdk\dist\gen\client.gen.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\sdk\dist\gen\client\client.gen.d.ts | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\sdk\dist\gen\client\client.gen.js | ProdRef: False | TestRef: False | By: 0
.kilo\node_modules\@kilocode\sdk\dist\gen\client\index.d.ts | ProdRef: False | TestRef: False | By: 13
